Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s
172.16.69.219,224.0.0.251,5353,5353,17,7.997015953063965,15,0,4718,0,710,83,314.53333333333336,257.79988794067043,0,0,0.0,0.0,589.9700622945928,1.8756996469730591
172.16.90.41,224.0.0.251,5353,5353,17,0.0,1,0,144,0,144,144,144.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.82.44,224.0.0.251,5353,5353,17,3.798046112060547,9,0,3475,0,991,157,386.1111111111111,307.96480478725863,0,0,0.0,0.0,914.9441311323928,2.369639476314111
172.16.82.16,224.0.0.251,5353,5353,17,2.06042218208313,13,0,3135,0,545,100,241.15384615384616,122.9526776721254,0,0,0.0,0.0,1521.5328330577618,6.3093865485648815
172.16.76.222,224.0.0.251,5353,5353,17,1739027530.172181,2,0,403,0,324,79,201.5,122.5,0,0,0.0,0.0,2.317387120145815e-07,1.1500680497001565e-09
172.16.83.229,224.0.0.251,5353,5353,17,1739027520.343947,2,0,188,0,113,75,94.0,19.0,0,0,0.0,0.0,1.0810639728278546e-07,1.1500680561998454e-09
172.16.81.122,224.0.0.251,5353,5353,17,8.166450023651123,11,0,1217,0,152,87,110.63636363636364,31.26797003985425,0,0,0.0,0.0,149.0243614392308,1.3469745076676574
172.16.81.157,224.0.0.251,5353,5353,17,1739027530.398582,24,0,9711,0,457,92,404.625,82.80439425739031,0,0,0.0,0.0,5.584155414592118e-06,1.3800816594605171e-08
172.16.84.255,224.0.0.251,5353,5353,17,0.0,1,0,174,0,174,174,174.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.83.47,224.0.0.251,5353,5353,17,1739027526.0804539,6,0,2525,0,454,255,420.8333333333333,74.16292125374302,0,0,0.0,0.0,1.4519609161627406e-06,3.4502041572183933e-09
172.16.79.102,224.0.0.251,5353,5353,17,1739027532.431928,2,0,885,0,804,81,442.5,361.5,0,0,0.0,0.0,5.089051113310319e-07,1.150068048205722e-09
172.16.72.71,224.0.0.251,5353,5353,17,1739027523.931794,2,0,879,0,718,161,439.5,278.5,0,0,0.0,0.0,5.054549096570107e-07,1.1500680538271008e-09
172.16.68.240,224.0.0.251,5353,5353,17,9.425634145736694,5,0,2034,0,486,227,406.8,104.39042101648982,0,0,0.0,0.0,215.79449918709162,0.5304682870872458
172.16.68.42,224.0.0.251,5353,5353,17,2.965975046157837,3,0,897,0,687,81,299.0,275.056357861439,0,0,0.0,0.0,302.43005623462193,1.011471759982013
172.16.88.155,224.0.0.251,5353,5353,17,4.4126410484313965,5,0,2320,0,464,464,464.0,0.0,0,0,0.0,0.0,525.7622304956603,1.1331082553785783
172.16.70.93,224.0.0.251,5353,5353,17,6.656736135482788,3,0,1416,0,472,472,472.0,0.0,0,0,0.0,0.0,212.71685870981318,0.45067131082587536
172.16.91.73,224.0.0.251,5353,5353,17,4.825032949447632,5,0,2431,0,492,463,486.2,11.6,0,0,0.0,0.0,503.8307562808043,1.0362623535187254
172.16.78.110,224.0.0.251,5353,5353,17,4.91701078414917,3,0,1404,0,468,468,468.0,0.0,0,0,0.0,0.0,285.53933713670824,0.6101267887536501
172.16.83.211,224.0.0.251,5353,5353,17,1739027524.7579563,4,0,1736,0,434,434,434.0,0.0,0,0,0.0,0.0,9.98259070247679e-07,2.3001361065614724e-09
172.16.84.21,224.0.0.251,5353,5353,17,0.09435296058654785,19,0,5961,0,375,84,313.7368421052632,118.63559513119561,0,0,0.0,0.0,63177.66780123564,201.37152964661587
172.16.73.200,224.0.0.251,5353,5353,17,1.7329950332641602,9,0,2520,0,470,118,280.0,118.0734234844291,0,0,0.0,0.0,1454.129960922904,5.193321289010371
172.16.70.26,224.0.0.251,5353,5353,17,7.399075984954834,3,0,513,0,343,85,171.0,121.62236636408618,0,0,0.0,0.0,69.3329817186803,0.4054560334425749
172.16.81.190,224.0.0.251,5353,5353,17,5.306999921798706,17,0,4326,0,569,108,254.47058823529412,141.53740625800026,0,0,0.0,0.0,815.1498141597457,3.203316421802052
172.16.91.132,224.0.0.251,5353,5353,17,1739027521.471119,2,0,164,0,82,82,82.0,0.0,0,0,0.0,0.0,9.4305580547262e-08,1.1500680554544146e-09
172.16.80.178,224.0.0.251,5353,5353,17,1739027522.497026,2,0,262,0,131,131,131.0,0.0,0,0,0.0,0.0,1.506589151756499e-07,1.1500680547759532e-09
172.16.85.181,224.0.0.251,5353,5353,17,7.886807918548584,3,0,1401,0,467,467,467.0,0.0,0,0,0.0,0.0,177.6384076382866,0.3803820292040398
13.107.42.14,172.16.85.30,443,37430,6,1739027521.6488578,4,3,312,246,97,60,78.0,18.01388353465182,96,54,82.0,19.79898987322333,3.2086898743898697e-07,4.025238193679048e-09
172.16.76.138,224.0.0.251,5353,5353,17,0.0,1,0,142,0,142,142,142.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.85.30,20.187.186.89,37429,443,6,0.0,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,0.0,0.0
172.16.78.192,224.0.0.251,5353,5353,17,1739027527.715723,2,0,1229,0,1113,116,614.5,498.5,0,0,0.0,0.0,7.067168175390167e-07,1.1500680513246815e-09
172.16.84.191,224.0.0.251,5353,5353,17,1739027527.4000819,6,0,522,0,87,87,87.0,0.0,0,0,0.0,0.0,3.0016776145022363e-07,3.4502041546002715e-09
172.16.75.135,224.0.0.251,5353,5353,17,2.4850351810455322,5,0,1946,0,455,266,389.2,82.06436498261593,0,0,0.0,0.0,783.0875050957052,2.0120439493723157
172.16.68.83,224.0.0.251,5353,5353,17,0.0,1,0,840,0,840,840,840.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.72.137,224.0.0.251,5353,5353,17,4.911944389343262,7,0,2709,0,582,92,387.0,134.7219358530748,0,0,0.0,0.0,551.5127585477815,1.4250975673069288
172.16.84.126,224.0.0.251,5353,5353,17,0.0,1,0,1271,0,1271,1271,1271.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.81.216,224.0.0.251,5353,5353,17,2.1467719078063965,3,0,1299,0,433,433,433.0,0.0,0,0,0.0,0.0,605.0945586144443,1.3974470175853217
172.16.68.195,224.0.0.251,5353,5353,17,1739027526.287364,4,0,1896,0,474,474,474.0,0.0,0,0,0.0,0.0,1.0902645135512923e-06,2.3001361045385914e-09
172.16.90.88,224.0.0.251,5353,5353,17,0.0,1,0,91,0,91,91,91.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.81.113,224.0.0.251,5353,5353,17,1739027531.401815,2,0,1967,0,992,975,983.5,8.5,0,0,0.0,0.0,1.1310919260803298e-06,1.1500680488869647e-09
172.16.72.211,224.0.0.251,5353,5353,17,7.785437107086182,3,0,1407,0,469,469,469.0,0.0,0,0,0.0,0.0,180.722030201666,0.3853348191933177
172.16.68.186,224.0.0.251,5353,5353,17,7.7890729904174805,3,0,1660,0,734,463,553.3333333333334,127.75062513436959,0,0,0.0,0.0,213.11907104249988,0.38515494766716846
172.16.75.231,224.0.0.251,5353,5353,17,1739027523.823481,2,0,523,0,423,100,261.5,161.5,0,0,0.0,0.0,3.0074279609451814e-07,1.150068053898731e-09
172.16.86.252,224.0.0.251,5353,5353,17,4.611642122268677,3,0,1332,0,444,444,444.0,0.0,0,0,0.0,0.0,288.8342080076085,0.6505274955126317
172.16.90.105,224.0.0.251,5353,5353,17,1739027530.275397,2,0,243,0,139,104,121.5,17.5,0,0,0.0,0.0,1.3973326803027544e-07,1.1500680496318967e-09
172.16.93.193,224.0.0.251,5353,5353,17,1739027523.621666,6,0,606,0,111,91,101.0,10.0,0,0,0.0,0.0,3.484706203717557e-07,3.4502041620965913e-09
172.16.85.45,224.0.0.251,5353,5353,17,0.0,1,0,87,0,87,87,87.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.86.30,224.0.0.251,5353,5353,17,1739027525.359618,2,0,698,0,349,349,349.0,0.0,0,0,0.0,0.0,4.0137375045611125e-07,1.1500680528828404e-09
172.16.83.234,224.0.0.251,5353,5353,17,1739027525.052616,2,0,574,0,452,122,287.0,165.0,0,0,0.0,0.0,3.3006953123564455e-07,1.1500680530858694e-09
142.250.77.202,172.16.85.30,443,36479,6,0.0,1,1,136,54,136,136,136.0,0.0,54,54,54.0,0.0,0.0,0.0
172.16.85.30,35.186.224.24,53743,443,17,1739027525.4138207,6,5,3937,371,1292,74,656.1666666666666,582.6466672769088,106,64,74.2,15.979987484350543,2.477246585832426e-06,6.32537429065847e-09
172.16.79.6,224.0.0.251,5353,5353,17,1739027529.982173,4,0,1896,0,474,474,474.0,0.0,0,0,0.0,0.0,1.0902645112348717e-06,2.3001360996516282e-09
172.16.84.48,224.0.0.251,5353,5353,17,0.0,1,0,87,0,87,87,87.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.74.100,224.0.0.251,5353,5353,17,0.0,1,0,109,0,109,109,109.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.70.65,224.0.0.251,5353,5353,17,0.9051198959350586,3,0,456,0,152,152,152.0,0.0,0,0,0.0,0.0,503.8006589490742,3.314478019401804
172.16.80.127,224.0.0.251,5353,5353,17,1739027529.975142,2,0,579,0,479,100,289.5,189.5,0,0,0.0,0.0,3.3294470042591926e-07,1.1500680498304639e-09
172.16.83.103,224.0.0.251,5353,5353,17,1739027530.069919,4,0,903,0,395,84,225.75,143.0775576392049,0,0,0.0,0.0,5.192557244701549e-07,2.3001360995355702e-09
172.16.93.236,224.0.0.251,5353,5353,17,0.0,1,0,407,0,407,407,407.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.72.77,224.0.0.251,5353,5353,17,0.0,1,0,363,0,363,363,363.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.95.25,224.0.0.251,5353,5353,17,0.0,1,0,341,0,341,341,341.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.70.172,224.0.0.251,5353,5353,17,0.0,1,0,379,0,379,379,379.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.85.123,224.0.0.251,5353,5353,17,0.0,1,0,299,0,299,299,299.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.84.100,224.0.0.251,5353,5353,17,0.0,1,0,779,0,779,779,779.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.88.214,224.0.0.251,5353,5353,17,0.0,1,0,275,0,275,275,275.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.88.39,224.0.0.251,5353,5353,17,0.0,1,0,283,0,283,283,283.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.68.62,224.0.0.251,5353,5353,17,0.0,1,0,321,0,321,321,321.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.85.30,172.31.1.6,52074,53,17,0.0,1,1,74,202,74,74,74.0,0.0,202,202,202.0,0.0,0.0,0.0
172.16.68.125,224.0.0.251,5353,5353,17,0.0,1,0,491,0,491,491,491.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.81.234,224.0.0.251,5353,5353,17,0.0,1,0,341,0,341,341,341.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.69.210,224.0.0.251,5353,5353,17,0.0,1,0,299,0,299,299,299.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.78.222,224.0.0.251,5353,5353,17,0.0,1,0,321,0,321,321,321.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.83.87,224.0.0.251,5353,5353,17,1739027531.911772,2,0,940,0,470,470,470.0,0.0,0,0,0.0,0.0,5.405319828183663e-07,1.1500680485497157e-09
172.16.85.30,3.224.155.71,39703,443,6,1.363279104232788,9,13,2388,5707,1376,54,265.3333333333333,423.53879528457736,1514,60,439.0,594.0426040147419,5937.8890022345195,16.137561216696657
172.16.86.99,224.0.0.251,5353,5353,17,0.7177369594573975,3,0,428,0,159,131,142.66666666666666,11.897712198383164,0,0,0.0,0.0,596.3187409542962,4.179804259025441
172.16.88.42,224.0.0.251,5353,5353,17,0.0,1,0,255,0,255,255,255.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.78.229,224.0.0.251,5353,5353,17,0.0,1,0,85,0,85,85,85.0,0.0,0,0,0.0,0.0,0.0,0.0
172.16.85.30,172.31.1.6,54475,53,17,0.0,1,1,74,202,74,74,74.0,0.0,202,202,202.0,0.0,0.0,0.0
172.16.85.30,172.31.1.6,60580,53,17,0.0,1,1,74,159,74,74,74.0,0.0,159,159,159.0,0.0,0.0,0.0
172.16.85.30,3.224.155.71,39704,443,6,1739027533.3473256,12,15,5003,5906,1514,54,416.9166666666667,541.3973368875108,1514,60,393.73333333333335,564.9857186002336,6.273046165636074e-06,1.552591864260464e-08
172.16.85.30,224.0.0.251,5353,5353,17,0.0,1,0,126,0,126,126,126.0,0.0,0,0,0.0,0.0,0.0,0.0
20.250.119.64,172.16.85.30,443,47210,6,0.0007901191711425781,5,3,351,218,93,60,70.2,13.362634470792052,110,54,72.66666666666667,26.398653164297773,720144.5310802655,10125.05491852746
172.16.87.106,224.0.0.251,5353,5353,17,0.6964349746704102,3,0,487,0,184,119,162.33333333333334,30.641293851417057,0,0,0.0,0.0,699.2756218632962,4.307652701416609
172.16.85.30,3.224.155.71,39705,443,6,1739027532.677639,3,2,691,126,571,54,230.33333333333334,240.93752071624064,66,60,63.0,3.0,4.698027976256579e-07,2.8751701201080656e-09
172.16.85.30,35.186.224.22,49665,443,17,0.11203885078430176,3,1,2163,69,1288,74,721.0,498.8313008088673,69,69,69.0,0.0,19921.660962919614,35.70190136723945
